월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2007-08,동수별,구조별,철근및철골조,12560,12560,12560,0,0,0
2007-08,동수별,구조별,조적조,1579,1579,1579,0,0,0
2007-08,동수별,구조별,목조,581,581,581,0,0,0
2007-08,동수별,구조별,기타,124,124,124,0,0,0
2007-08,동수별,용도별,주거용,5247,5247,5247,0,0,0
2007-08,동수별,용도별,상업용,3860,3860,3860,0,0,0
2007-08,동수별,용도별,공업용,1944,1944,1944,0,0,0
2007-08,동수별,용도별,교육및사회,811,811,811,0,0,0
2007-08,동수별,용도별,기타,2982,2982,2982,0,0,0
2007-08,연면적별,합계,합계,8592816,8592816,8592816,0,0,0
2007-08,연면적별,구조별,철근및철골조,8340355,8340355,8340355,0,0,0
2007-08,연면적별,구조별,조적조,127284,127284,127284,0,0,0
2007-08,연면적별,구조별,목조,45549,45549,45549,0,0,0
2007-08,연면적별,구조별,기타,79628,79628,79628,0,0,0
2007-08,연면적별,용도별,주거용,3308548,3308548,3308548,0,0,0
2007-08,연면적별,용도별,상업용,1959922,1959922,1959922,0,0,0
2007-08,연면적별,용도별,공업용,1434490,1434490,1434490,0,0,0
2007-08,연면적별,용도별,교육및사회,766880,766880,766880,0,0,0
2007-08,연면적별,용도별,기타,1122976,1122976,1122976,0,0,0
2007-10,동수별,합계,합계,17905,17905,17905,0,0,0
2007-10,동수별,구조별,철근및철골조,15260,15260,15260,0,0,0
2007-10,동수별,구조별,조적조,1745,1745,1745,0,0,0
2007-10,동수별,구조별,목조,708,708,708,0,0,0
2007-10,동수별,구조별,기타,192,192,192,0,0,0
2007-10,동수별,용도별,주거용,6004,6004,6004,0,0,0
2007-10,동수별,용도별,상업용,4939,4939,4939,0,0,0
2007-10,동수별,용도별,공업용,2210,2210,2210,0,0,0
2007-10,동수별,용도별,교육및사회,859,859,859,0,0,0
2007-10,동수별,용도별,기타,3893,3893,3893,0,0,0
2007-10,연면적별,합계,합계,8278271,8278271,8278271,0,0,0
2007-10,연면적별,구조별,철근및철골조,8072757,8072757,8072757,0,0,0
2007-10,연면적별,구조별,조적조,132316,132316,132316,0,0,0
2007-10,연면적별,구조별,목조,61122,61122,61122,0,0,0
2007-10,연면적별,구조별,기타,12076,12076,12076,0,0,0
2007-10,연면적별,용도별,주거용,2201127,2201127,2201127,0,0,0
2007-10,연면적별,용도별,상업용,1947707,1947707,1947707,0,0,0
2007-10,연면적별,용도별,공업용,1400825,1400825,1400825,0,0,0
2007-10,연면적별,용도별,교육및사회,1467303,1467303,1467303,0,0,0
2007-10,연면적별,용도별,기타,1261309,1261309,1261309,0,0,0
2007-11,동수별,합계,합계,16590,16590,16590,0,0,0
2007-11,동수별,구조별,철근및철골조,14308,14308,14308,0,0,0
2007-11,동수별,구조별,조적조,1485,1485,1485,0,0,0
2007-11,동수별,구조별,목조,676,676,676,0,0,0
2007-11,동수별,구조별,기타,121,121,121,0,0,0
2007-11,동수별,용도별,주거용,5174,5174,5174,0,0,0
2007-11,동수별,용도별,상업용,4395,4395,4395,0,0,0
2007-11,동수별,용도별,공업용,2019,2019,2019,0,0,0
2007-11,동수별,용도별,교육및사회,756,756,756,0,0,0
2007-11,동수별,용도별,기타,4246,4246,4246,0,0,0
2007-11,연면적별,합계,합계,11067097,11067097,11067097,0,0,0
2007-11,연면적별,구조별,철근및철골조,10885488,10885488,10885488,0,0,0
2007-11,연면적별,구조별,조적조,114304,114304,114304,0,0,0
2007-11,연면적별,구조별,목조,54708,54708,54708,0,0,0
2007-11,연면적별,구조별,기타,12597,12597,12597,0,0,0
2007-11,연면적별,용도별,주거용,4358046,4358046,4358046,0,0,0
2007-11,연면적별,용도별,상업용,3257203,3257203,3257203,0,0,0
2007-11,연면적별,용도별,공업용,1259653,1259653,1259653,0,0,0
2007-11,연면적별,용도별,교육및사회,583506,583506,583506,0,0,0
2007-11,연면적별,용도별,기타,1608689,1608689,1608689,0,0,0
2007-12,동수별,합계,합계,13421,13421,13421,0,0,0
2007-12,동수별,구조별,철근및철골조,11631,11631,11631,0,0,0
2007-12,동수별,구조별,조적조,1129,1129,1129,0,0,0
2007-12,동수별,구조별,목조,557,557,557,0,0,0
2007-12,동수별,구조별,기타,104,104,104,0,0,0
2007-12,동수별,용도별,주거용,3769,3769,3769,0,0,0
2007-12,동수별,용도별,상업용,3732,3732,3732,0,0,0
2007-12,동수별,용도별,공업용,1829,1829,1829,0,0,0
2007-12,동수별,용도별,교육및사회,575,575,575,0,0,0
2007-12,동수별,용도별,기타,3516,3516,3516,0,0,0
2007-12,연면적별,합계,합계,5903539,5903539,5903539,0,0,0
2007-12,연면적별,구조별,철근및철골조,5770804,5770804,5770804,0,0,0
2007-12,연면적별,구조별,조적조,80602,80602,80602,0,0,0
2007-12,연면적별,구조별,목조,47185,47185,47185,0,0,0
2007-12,연면적별,구조별,기타,4948,4948,4948,0,0,0
2007-12,연면적별,용도별,주거용,1241500,1241500,1241500,0,0,0
2007-12,연면적별,용도별,상업용,1768250,1768250,1768250,0,0,0
2007-12,연면적별,용도별,공업용,1325041,1325041,1325041,0,0,0
2007-12,연면적별,용도별,교육및사회,551218,551218,551218,0,0,0
2007-12,연면적별,용도별,기타,1017530,1017530,1017530,0,0,0
2009-01,동수별,합계,합계,7225,7225,7225,0,0,0
2009-01,동수별,구조별,철근및철골조,6186,6186,6186,0,0,0
2009-01,동수별,구조별,조적조,648,648,648,0,0,0
2009-01,동수별,구조별,목조,372,372,372,0,0,0
2009-01,동수별,구조별,기타,19,19,19,0,0,0
2009-01,동수별,용도별,주거용,2049,2049,2049,0,0,0
2009-01,동수별,용도별,상업용,1989,1989,1989,0,0,0
2009-01,동수별,용도별,공업용,820,820,820,0,0,0
2009-01,동수별,용도별,교육및사회,522,522,522,0,0,0
2009-01,동수별,용도별,기타,1845,1845,1845,0,0,0
2009-01,연면적별,합계,합계,3647046,3647046,3647046,0,0,0
2009-01,연면적별,구조별,철근및철골조,3573393,3573393,3573393,0,0,0
2009-01,연면적별,구조별,조적조,43452,43452,43452,0,0,0
2009-01,연면적별,구조별,목조,29166,29166,29166,0,0,0
2009-01,연면적별,구조별,기타,1035,1035,1035,0,0,0
2009-01,연면적별,용도별,주거용,768076,768076,768076,0,0,0
2009-01,연면적별,용도별,상업용,745554,745554,745554,0,0,0
