기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2016	강서구	화곡6동	4,123	4,279	1,611	1,496	1,251	1,086	1,261	1,697
2016	강서구	화곡8동	4,220	4,543	1,390	1,716	1,816	1,183	1,014	1,644
2016	강서구	가양1동	6,903	4,597	2,044	1,558	2,198	1,181	2,661	1,858
2016	강서구	가양2동	1,979	2,302	587	827	753	557	639	918
2016	강서구	가양3동	2,026	2,631	602	853	814	819	610	959
2016	강서구	발산1동	4,580	5,265	2,005	2,114	1,337	1,254	1,238	1,897
2016	강서구	공항동	6,851	3,392	2,711	1,187	2,787	619	1,353	1,586
2016	강서구	방화1동	8,639	6,459	3,820	2,519	2,670	1,251	2,149	2,689
2016	강서구	방화2동	3,886	4,065	1,599	1,729	858	633	1,429	1,703
2016	강서구	방화3동	3,294	3,903	1,302	1,570	866	768	1,126	1,565
2016	강서구	화곡1동	9,994	9,290	2,237	2,558	4,682	3,081	3,075	3,651
2016	강서구	우장산동	6,439	6,931	2,773	2,754	1,996	1,826	1,670	2,351
2016	구로구	소계	54,368	61,558	14,722	14,722	19,444	19,205	20,202	27,631
2016	구로구	신도림동	4,328	4,749	924	652	2,059	2,184	1,345	1,913
2016	구로구	구로1동	2,167	2,645	385	408	854	859	928	1,378
2016	구로구	구로3동	4,997	5,733	843	974	1,963	2,269	2,191	2,490
2016	구로구	구로4동	3,439	4,417	1,074	1,282	1,243	1,387	1,122	1,748
2016	구로구	구로5동	5,657	5,859	1,065	1,175	2,427	2,147	2,165	2,537
2016	구로구	고척1동	2,974	3,352	1,085	1,023	1,003	1,012	886	1,317
2016	구로구	고척2동	3,929	4,118	1,361	1,291	1,618	1,311	950	1,516
2016	구로구	개봉2동	4,093	4,469	1,224	1,177	1,225	1,160	1,644	2,132
2016	구로구	개봉3동	2,562	2,872	783	768	551	550	1,228	1,554
2016	구로구	오류1동	3,298	3,507	906	921	1,016	884	1,376	1,702
2016	구로구	오류2동	4,630	5,238	1,099	992	1,473	1,378	2,058	2,868
2016	구로구	수궁동	3,264	3,374	778	702	1,062	808	1,424	1,864
2016	구로구	가리봉동	1,357	1,969	301	519	602	721	454	729
2016	구로구	구로2동	3,334	4,552	1,166	1,366	1,046	1,319	1,122	1,867
2016	구로구	개봉1동	4,339	4,704	1,728	1,472	1,302	1,216	1,309	2,016
2016	금천구	소계	34,870	36,528	11,451	11,451	11,013	9,369	12,406	15,708
2016	금천구	가산동	4,525	4,706	544	873	1,602	1,677	2,379	2,156
2016	금천구	독산1동	8,695	5,855	2,148	887	3,008	1,662	3,539	3,306
2016	금천구	독산2동	2,611	3,189	1,240	1,391	658	627	713	1,171
2016	금천구	독산3동	3,152	3,917	727	1,041	1,580	1,467	845	1,409
2016	금천구	독산4동	2,054	2,768	895	1,220	602	570	557	978
2016	금천구	시흥1동	5,181	5,570	2,023	2,062	1,337	1,121	1,821	2,387
2016	금천구	시흥2동	2,310	2,673	775	804	848	722	687	1,147
2016	금천구	시흥3동	1,206	1,678	369	405	296	367	541	906
2016	금천구	시흥4동	2,448	3,205	1,310	1,455	509	589	629	1,161
2016	금천구	시흥5동	2,688	2,967	1,420	1,313	573	567	695	1,087
2016	영등포구	소계	61,308	71,785	17,380	17,380	23,422	29,393	20,506	25,012
2016	영등포구	여의동	3,707	4,070	296	315	2,155	2,250	1,256	1,505
2016	영등포구	당산1동	3,535	3,823	944	954	1,293	1,528	1,298	1,341
2016	영등포구	당산2동	6,605	6,389	1,166	1,252	2,754	2,783	2,685	2,354
2016	영등포구	양평1동	3,095	3,280	659	671	1,285	1,465	1,151	1,144
2016	영등포구	양평2동	3,468	3,312	593	509	1,585	1,531	1,290	1,272
2016	영등포구	신길1동	3,572	3,825	1,109	886	1,143	1,576	1,320	1,363
2016	영등포구	신길3동	4,530	2,943	2,204	1,130	1,511	889	815	924
