기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1976	서울특별시	7월	여자	108,635	96,949	81,118	…	…	…	27,517	15,831	11,686
1976	서울특별시	8월	합계	188,091	172,080	138,369	…	…	…	49,722	33,711	16,011
1976	서울특별시	8월	남자	98,738	91,915	72,432	…	…	…	26,306	19,483	6,823
1976	서울특별시	8월	여자	89,353	80,165	65,937	…	…	…	23,416	14,228	9,188
1976	서울특별시	9월	합계	188,285	172,863	139,204	…	…	…	49,081	33,659	15,422
1976	서울특별시	9월	남자	97,689	91,525	72,282	…	…	…	25,407	19,243	6,164
1976	서울특별시	9월	여자	90,596	81,338	66,922	…	…	…	23,674	14,416	9,258
1976	서울특별시	10월	합계	219,330	205,308	169,734	…	…	…	49,596	35,574	14,022
1976	서울특별시	10월	남자	113,202	107,372	87,181	…	…	…	26,021	20,191	5,830
1976	서울특별시	10월	여자	106,128	97,936	82,553	…	…	…	23,575	15,383	8,192
1976	서울특별시	11월	합계	227,841	215,732	179,099	…	…	…	48,742	36,633	12,109
1976	서울특별시	11월	남자	117,179	112,277	91,647	…	…	…	25,532	20,630	4,902
1976	서울특별시	11월	여자	110,662	103,455	87,452	…	…	…	23,210	16,003	7,207
1976	서울특별시	12월	합계	218,766	206,751	169,547	…	…	…	49,219	37,204	12,015
1976	서울특별시	12월	남자	112,780	107,824	87,080	…	…	…	25,700	20,744	4,956
1976	서울특별시	12월	여자	105,986	98,927	82,467	…	…	…	23,519	16,460	7,059
