,,
지역,시점,매매가격 대비 전세가격(전세지가)
8개도,2017. 04 월,75.64189715
8개도,2017. 05 월,75.70157205
8개도,2017. 06 월,75.73040998
8개도,2017. 07 월,75.70563078
8개도,2017. 08 월,75.71352483
8개도,2017. 09 월,75.75785351
8개도,2017. 10 월,75.82130716
8개도,2017. 11 월,75.86245724
8개도,2017. 12 월,76.61000014
8개도,2018. 01 월,76.72069879
8개도,2018. 02 월,76.80856781
8개도,2018. 03 월,76.82649081
8개도,2018. 04 월,76.83821015
8개도,2018. 05 월,76.92154698
8개도,2018. 06 월,76.91182869
8개도,2018. 07 월,76.93937754
8개도,2018. 08 월,77.01910221
8개도,2018. 09 월,77.08189171
8개도,2018. 10 월,77.13060467
8개도,2018. 11 월,77.19216847
8개도,2018. 12 월,77.26527324
8개도,2019. 01 월,77.15354934
8개도,2019. 02 월,77.17409188
8개도,2019. 03 월,77.21198703
8개도,2019. 04 월,77.2614728
8개도,2019. 05 월,77.27654234
8개도,2019. 06 월,77.27588183
8개도,2019. 07 월,77.34341284
8개도,2019. 08 월,77.39857318
8개도,2019. 09 월,77.5025769
8개도,2019. 10 월,77.57819647
8개도,2019. 11 월,77.67260649
8개도,2019. 12 월,77.73279017
서울,2012. 01 월,54.2711726
서울,2012. 02 월,54.4213579
서울,2012. 03 월,54.54652259
서울,2012. 04 월,54.54743331
서울,2012. 05 월,54.71363944
서울,2012. 06 월,54.91954624
서울,2012. 07 월,54.98963525
서울,2012. 08 월,55.20474357
서울,2012. 09 월,55.97176634
서울,2012. 10 월,56.68991704
서울,2012. 11 월,57.32712949
서울,2012. 12 월,57.19412638
서울,2013. 01 월,57.76206676
서울,2013. 02 월,58.34453907
서울,2013. 03 월,58.87608918
서울,2013. 04 월,59.2956284
서울,2013. 05 월,59.29266822
서울,2013. 06 월,59.5010861
서울,2013. 07 월,60.1963899
서울,2013. 08 월,61.1165531
서울,2013. 09 월,61.87160294
서울,2013. 10 월,62.51993382
서울,2013. 11 월,63.07569291
서울,2013. 12 월,63.55274951
서울,2014. 01 월,64.30659816
서울,2014. 02 월,64.67967165
서울,2014. 03 월,64.92456281
서울,2014. 04 월,65.0160364
서울,2014. 05 월,65.06527241
서울,2014. 06 월,65.12105187
서울,2014. 07 월,65.26244906
서울,2014. 08 월,65.35937852
서울,2014. 09 월,65.42993814
서울,2014. 10 월,65.52442377
서울,2014. 11 월,65.68078181
서울,2014. 12 월,65.93118138
서울,2015. 01 월,66.15393352
서울,2015. 02 월,66.39701466
서울,2015. 03 월,66.64794802
서울,2015. 04 월,66.94857932
서울,2015. 05 월,67.14182229
서울,2015. 06 월,67.34439237
서울,2015. 07 월,69.41666384
서울,2015. 08 월,69.52611753
서울,2015. 09 월,69.78093343
서울,2015. 10 월,69.97200351
서울,2015. 11 월,70.50574058
서울,2015. 12 월,70.76049987
서울,2016. 01 월,70.96705715
서울,2016. 02 월,71.34519944
서울,2016. 03 월,71.52011939
서울,2016. 04 월,71.67365752
서울,2016. 05 월,71.71133689
서울,2016. 06 월,71.97141728
서울,2016. 07 월,71.96900512
서울,2016. 08 월,71.87451973
서울,2016. 09 월,71.8836225
서울,2016. 10 월,71.71768871
서울,2016. 11 월,71.58469323
서울,2016. 12 월,71.59000402
서울,2017. 01 월,71.61675188
서울,2017. 02 월,71.63768706
서울,2017. 03 월,71.68679954
서울,2017. 04 월,71.64721992
서울,2017. 05 월,71.54893759
서울,2017. 06 월,71.19905549
서울,2017. 07 월,71.03571493
서울,2017. 08 월,70.80243745
서울,2017. 09 월,70.896352
서울,2017. 10 월,70.83381126
서울,2017. 11 월,70.72655825
서울,2017. 12 월,70.689959
서울,2018. 01 월,70.06895324
서울,2018. 02 월,69.34495832
서울,2018. 03 월,68.74251809
