"자치단체코드","상호","휴폐업구분","업태","허가일자"
"3210000","국제전자도매센타","영업중","전문점","19970329"
"3240000","삼성테드크(주)홈플러스강동점","영업재개","대형마트","20081107"
"3210000","교보타워 지하아케이드","영업중","전문점","20030501"
"3210000","반포프라자","영업중","그밖의 대규모점포","19971029"
"3230000","롯데하이마트 월드타워점","영업중","전문점","20140718"
"3000000","효성주얼리시티","영업중","그밖의 대규모점포","20070704"
"3210000","무지개쇼핑","영업중","그밖의 대규모점포","19800802"
"3020000","원효전자상가","영업중","전문점","19880623"
"3180000","(주)신세계 영등포점","영업중","백화점","19821215"
"3200000","르네상스쇼핑몰(주)","영업중","복합쇼핑몰","20040922"
"3040000","커먼그라운드","영업중","그밖의 대규모점포","20150403"
"3190000","(주)지에스리테일 상도 엠코타운점","영업중","구분없음","20140905"
"3120000","(주)GS리테일 북가좌점","영업중","구분없음","20120326"
"3070000","GS슈퍼마켓 동소문점","영업중","구분없음","20110902"
"3210000","서초쇼핑","영업중","그밖의 대규모점포","19890605"
"3070000","종암우림카이저팰리스주상복합","영업중","그밖의 대규모점포","20081027"
"3050000","서울풍물시장","영업중","그밖의 대규모점포","20080806"
"3150000","송화시장","영업중","그밖의 대규모점포","20090305"
"3090000","도봉한양프라자","영업중","그밖의 대규모점포","20101130"
"3010000","남정종합상가","영업중","그밖의 대규모점포","20020722"
"3230000","(주)지에스리테일 문정점","폐업","구분없음","20110831"
"3030000","금호종합시장","폐업","그밖의 대규모점포","19790810"
"3050000","(주)이마트 이문점","영업중","대형마트","20110831"
