,종가,거래량,거래대금,변동 %
2018년 10월 31일,"2,029.69",373.03M,757135.2607K,0.74%
2018년 10월 30일,"2,014.69",441.58M,889646.8102K,0.93%
2018년 10월 29일,"1,996.05",427.30M,852912.165K,-1.53%
2018년 10월 26일,"2,027.15",449.20M,910595.78K,-1.75%
2018년 10월 25일,"2,063.30",376.01M,775821.433K,-1.63%
2018년 10월 24일,"2,097.58",399.73M,838465.6534K,-0.40%
2018년 10월 23일,"2,106.10",373.47M,786565.167K,-2.57%
2018년 10월 22일,"2,161.71",308.74M,667406.3454K,0.25%
2018년 10월 19일,"2,156.26",351.77M,758507.5802K,0.37%
2018년 10월 18일,"2,148.31",321.76M,691240.2256K,-0.89%
2018년 10월 17일,"2,167.51",275.16M,596412.0516K,1.04%
2018년 10월 16일,"2,145.12",222.51M,477310.6512K,0.00%
2018년 10월 15일,"2,145.12",259.18M,555972.2016K,-0.77%
2018년 10월 12일,"2,161.85",292.57M,632492.4545K,1.51%
2018년 10월 11일,"2,129.67",411.92M,877253.6664K,-4.44%
2018년 10월 10일,"2,228.61",365.68M,814958.1048K,-1.12%
2018년 10월 08일,"2,253.83",214.64M,483762.0712K,-0.60%
2018년 10월 05일,"2,267.52",282.14M,639758.0928K,-0.31%
2018년 10월 04일,"2,274.49",309.50M,703954.655K,-1.52%
2018년 10월 02일,"2,309.57",287.87M,664855.9159K,-1.25%
2018년 10월 01일,"2,338.88",278.31M,650933.6928K,-0.18%
2018년 09월 28일,"2,343.07",317.87M,744791.6609K,-0.52%
2018년 09월 27일,"2,355.43",279.23M,657706.7189K,0.70%
2018년 09월 21일,"2,339.17",321.70M,752510.989K,0.68%
2018년 09월 20일,"2,323.45",289.08M,671662.926K,0.65%
2018년 09월 19일,"2,308.46",350.95M,810154.037K,-0.02%
2018년 09월 18일,"2,308.98",309.24M,714028.9752K,0.26%
2018년 09월 17일,"2,303.01",343.17M,790323.9417K,-0.66%
2018년 09월 14일,"2,318.25",292.24M,677485.38K,1.40%
2018년 09월 13일,"2,286.23",301.31M,688863.9613K,0.14%
2018년 09월 12일,"2,282.92",336.83M,768955.9436K,-0.01%
2018년 09월 11일,"2,283.20",368.21M,840697.072K,-0.24%
2018년 09월 10일,"2,288.66",312.61M,715458.0026K,0.31%
2018년 09월 07일,"2,281.58",357.56M,815801.7448K,-0.26%
2018년 09월 06일,"2,287.61",387.51M,886471.7511K,-0.18%
2018년 09월 05일,"2,291.77",358.19M,820889.0963K,-1.03%
2018년 09월 04일,"2,315.72",277.01M,641477.5972K,0.38%
2018년 09월 03일,"2,307.03",230.51M,531793.4853K,-0.68%
2018년 08월 31일,"2,322.88",255.91M,594448.2208K,0.67%
2018년 08월 30일,"2,307.35",286.93M,662047.9355K,-0.07%
2018년 08월 29일,"2,309.03",268.21M,619304.9363K,0.26%
2018년 08월 28일,"2,303.12",276.89M,637710.8968K,0.17%
2018년 08월 27일,"2,299.30",307.04M,705977.072K,0.27%
2018년 08월 24일,"2,293.21",347.29M,796408.9009K,0.46%
2018년 08월 23일,"2,282.60",338.39M,772409.014K,0.41%
2018년 08월 22일,"2,273.33",269.27M,612139.5691K,0.14%
2018년 08월 21일,"2,270.06",294.34M,668169.4604K,0.99%
2018년 08월 20일,"2,247.88",271.60M,610524.208K,0.04%
2018년 08월 17일,"2,247.05",238.38M,535651.779K,0.28%
2018년 08월 16일,"2,240.80",312.52M,700294.816K,-0.80%
2018년 08월 14일,"2,258.91",255.22M,576519.0102K,0.47%
2018년 08월 13일,"2,248.45",335.38M,754085.161K,-1.50%
2018년 08월 10일,"2,282.79",286.16M,653243.1864K,-0.91%
2018년 08월 09일,"2,303.71",244.88M,564132.5048K,0.10%
2018년 08월 08일,"2,301.45",299.69M,689721.5505K,0.06%
2018년 08월 07일,"2,300.16",230.34M,529818.8544K,0.60%
2018년 08월 06일,"2,286.50",244.55M,559163.575K,-0.05%
2018년 08월 03일,"2,287.68",270.49M,618794.5632K,0.77%
2018년 08월 02일,"2,270.20",352.06M,799246.612K,-1.60%
2018년 08월 01일,"2,307.07",219.03M,505317.5421K,0.51%
2018년 07월 31일,"2,295.26",223.93M,513977.5718K,0.08%
2018년 07월 30일,"2,293.51",206.50M,473609.815K,-0.06%
2018년 07월 27일,"2,294.99",262.14M,601608.6786K,0.26%
2018년 07월 26일,"2,289.06",303.33M,694340.5698K,0.71%
2018년 07월 25일,"2,273.03",309.32M,703093.6396K,-0.31%
2018년 07월 24일,"2,280.20",436.13M,994463.626K,0.48%
2018년 07월 23일,"2,269.31",334.29M,758607.6399K,-0.87%
2018년 07월 20일,"2,289.19",353.24M,808633.4756K,0.30%
2018년 07월 19일,"2,282.29",464.52M,1060169.351K,-0.34%
2018년 07월 18일,"2,290.11",402.77M,922387.6047K,-0.34%
2018년 07월 17일,"2,297.92",379.03M,870980.6176K,-0.18%
2018년 07월 16일,"2,301.99",297.12M,683967.2688K,-0.39%
2018년 07월 13일,"2,310.90",291.56M,673766.004K,1.13%
2018년 07월 12일,"2,285.06",364.41M,832698.7146K,0.19%
2018년 07월 11일,"2,280.62",422.99M,964679.4538K,-0.59%
2018년 07월 10일,"2,294.16",339.92M,779830.8672K,0.37%
2018년 07월 09일,"2,285.80",352.64M,806064.512K,0.57%
2018년 07월 06일,"2,272.87",344.43M,782844.6141K,0.68%
2018년 07월 05일,"2,257.55",346.88M,783098.944K,-0.35%
2018년 07월 04일,"2,265.46",315.10M,713846.446K,-0.32%
2018년 07월 03일,"2,272.76",366.03M,831898.3428K,0.05%
2018년 07월 02일,"2,271.54",393.26M,893305.8204K,-2.35%
2018년 06월 29일,"2,326.13",396.66M,922682.7258K,0.51%
2018년 06월 28일,"2,314.24",414.37M,958951.6288K,-1.19%
2018년 06월 27일,"2,342.03",526.62M,1233359.839K,-0.38%
2018년 06월 26일,"2,350.92",470.91M,1107071.737K,-0.30%
2018년 06월 25일,"2,357.88",415.08M,978708.8304K,0.03%
2018년 06월 22일,"2,357.22",537.26M,1266440.017K,0.83%
2018년 06월 21일,"2,337.83",438.26M,1024577.376K,-1.10%
2018년 06월 20일,"2,363.91",456.00M,1077942.96K,1.02%
2018년 06월 19일,"2,340.11",606.30M,1418808.693K,-1.52%
2018년 06월 18일,"2,376.24",564.82M,1342147.877K,-1.16%
2018년 06월 15일,"2,404.04",502.36M,1207693.534K,-0.80%
