기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2005	광진구	합계	남자	34,895	38,890	23,913	10,182	13,731	15,976	10,982	12,732	-3,995
2005	광진구	합계	여자	35,237	38,146	23,893	10,234	13,659	15,762	11,344	12,150	-2,909
2005	광진구	1월	합계	4,506	4,695	2,872	1,047	1,825	1,915	1,634	1,733	-189
2005	광진구	1월	남자	2,230	2,349	1,437	525	912	939	793	885	-119
2005	광진구	1월	여자	2,276	2,346	1,435	522	913	976	841	848	-70
2005	광진구	2월	합계	5,385	6,005	3,288	1,273	2,015	2,453	2,097	2,279	-620
2005	광진구	2월	남자	2,591	2,979	1,611	618	993	1,211	980	1,150	-388
2005	광진구	2월	여자	2,794	3,026	1,677	655	1,022	1,242	1,117	1,129	-232
2005	광진구	3월	합계	6,829	7,699	4,503	1,915	2,588	3,313	2,326	2,471	-870
2005	광진구	3월	남자	3,454	3,881	2,266	935	1,331	1,667	1,188	1,279	-427
2005	광진구	3월	여자	3,375	3,818	2,237	980	1,257	1,646	1,138	1,192	-443
2005	광진구	4월	합계	6,564	7,455	4,648	2,098	2,550	3,256	1,916	2,101	-891
2005	광진구	4월	남자	3,301	3,776	2,310	1,045	1,265	1,646	991	1,085	-475
2005	광진구	4월	여자	3,263	3,679	2,338	1,053	1,285	1,610	925	1,016	-416
2005	광진구	5월	합계	6,406	7,092	4,589	2,050	2,539	2,941	1,817	2,101	-686
2005	광진구	5월	남자	3,156	3,579	2,247	1,000	1,247	1,493	909	1,086	-423
2005	광진구	5월	여자	3,250	3,513	2,342	1,050	1,292	1,448	908	1,015	-263
2005	광진구	6월	합계	5,584	6,386	3,882	1,758	2,124	2,540	1,702	2,088	-802
2005	광진구	6월	남자	2,757	3,283	1,969	902	1,067	1,295	788	1,086	-526
2005	광진구	6월	여자	2,827	3,103	1,913	856	1,057	1,245	914	1,002	-276
2005	광진구	7월	합계	5,035	5,376	3,494	1,557	1,937	2,197	1,541	1,622	-341
2005	광진구	7월	남자	2,528	2,692	1,758	767	991	1,112	770	813	-164
2005	광진구	7월	여자	2,507	2,684	1,736	790	946	1,085	771	809	-177
2005	광진구	8월	합계	6,279	6,635	4,243	1,772	2,471	2,684	2,036	2,179	-356
2005	광진구	8월	남자	3,161	3,367	2,138	922	1,216	1,347	1,023	1,098	-206
2005	광진구	8월	여자	3,118	3,268	2,105	850	1,255	1,337	1,013	1,081	-150
2005	광진구	9월	합계	5,750	6,054	3,946	1,706	2,240	2,438	1,804	1,910	-304
2005	광진구	9월	남자	2,912	3,110	2,027	878	1,149	1,245	885	987	-198
2005	광진구	9월	여자	2,838	2,944	1,919	828	1,091	1,193	919	923	-106
2005	광진구	10월	합계	6,214	6,537	4,442	1,863	2,579	2,685	1,772	1,989	-323
2005	광진구	10월	남자	3,176	3,305	2,290	939	1,351	1,356	886	1,010	-129
2005	광진구	10월	여자	3,038	3,232	2,152	924	1,228	1,329	886	979	-194
2005	광진구	11월	합계	5,977	6,803	4,269	1,883	2,386	2,781	1,708	2,139	-826
2005	광진구	11월	남자	2,952	3,485	2,112	933	1,179	1,430	840	1,122	-533
2005	광진구	11월	여자	3,025	3,318	2,157	950	1,207	1,351	868	1,017	-293
2005	광진구	12월	합계	5,603	6,299	3,630	1,494	2,136	2,535	1,973	2,270	-696
2005	광진구	12월	남자	2,677	3,084	1,748	718	1,030	1,235	929	1,131	-407
2005	광진구	12월	여자	2,926	3,215	1,882	776	1,106	1,300	1,044	1,139	-289
2005	동대문구	합계	합계	76,336	75,764	55,442	24,404	31,038	29,630	20,894	21,730	572
2005	동대문구	합계	남자	38,732	38,406	28,145	12,164	15,981	15,003	10,587	11,239	326
2005	동대문구	합계	여자	37,604	37,358	27,297	12,240	15,057	14,627	10,307	10,491	246
2005	동대문구	1월	합계	4,200	4,615	2,650	1,150	1,500	1,887	1,550	1,578	-415
2005	동대문구	1월	남자	2,117	2,386	1,330	571	759	972	787	843	-269
2005	동대문구	1월	여자	2,083	2,229	1,320	579	741	915	763	735	-146
2005	동대문구	2월	합계	5,560	5,818	3,535	1,406	2,129	2,442	2,025	1,970	-258
2005	동대문구	2월	남자	2,832	2,952	1,793	708	1,085	1,232	1,039	1,012	-120
2005	동대문구	2월	여자	2,728	2,866	1,742	698	1,044	1,210	986	958	-138
2005	동대문구	3월	합계	8,614	7,707	6,269	2,640	3,629	2,891	2,345	2,176	907
2005	동대문구	3월	남자	4,376	3,923	3,163	1,300	1,863	1,486	1,213	1,137	453
2005	동대문구	3월	여자	4,238	3,784	3,106	1,340	1,766	1,405	1,132	1,039	454
2005	동대문구	4월	합계	7,799	7,057	5,967	2,663	3,304	2,590	1,832	1,804	742
2005	동대문구	4월	남자	3,986	3,617	3,041	1,343	1,698	1,310	945	964	369
2005	동대문구	4월	여자	3,813	3,440	2,926	1,320	1,606	1,280	887	840	373
2005	동대문구	5월	합계	6,949	6,629	5,283	2,337	2,946	2,625	1,666	1,667	320
2005	동대문구	5월	남자	3,560	3,368	2,705	1,168	1,537	1,307	855	893	192
2005	동대문구	5월	여자	3,389	3,261	2,578	1,169	1,409	1,318	811	774	128
2005	동대문구	6월	합계	6,387	6,411	4,845	2,189	2,656	2,476	1,542	1,746	-24
2005	동대문구	6월	남자	3,234	3,274	2,477	1,103	1,374	1,244	757	927	-40
2005	동대문구	6월	여자	3,153	3,137	2,368	1,086	1,282	1,232	785	819	16
2005	동대문구	7월	합계	5,154	5,214	3,801	1,662	2,139	2,030	1,353	1,522	-60
2005	동대문구	7월	남자	2,601	2,603	1,930	838	1,092	989	671	776	-2
2005	동대문구	7월	여자	2,553	2,611	1,871	824	1,047	1,041	682	746	-58
2005	동대문구	8월	합계	6,355	6,551	4,375	1,953	2,422	2,590	1,980	2,008	-196
2005	동대문구	8월	남자	3,178	3,251	2,170	935	1,235	1,300	1,008	1,016	-73
2005	동대문구	8월	여자	3,177	3,300	2,205	1,018	1,187	1,290	972	992	-123
2005	동대문구	9월	합계	5,849	6,017	4,195	1,812	2,383	2,447	1,654	1,758	-168
2005	동대문구	9월	남자	3,039	3,067	2,175	897	1,278	1,269	864	901	-28
2005	동대문구	9월	여자	2,810	2,950	2,020	915	1,105	1,178	790	857	-140
2005	동대문구	10월	합계	6,915	6,757	5,259	2,418	2,841	2,584	1,656	1,755	158
2005	동대문구	10월	남자	3,511	3,465	2,697	1,238	1,459	1,325	814	902	46
2005	동대문구	10월	여자	3,404	3,292	2,562	1,180	1,382	1,259	842	853	112
2005	동대문구	11월	합계	6,690	6,596	5,079	2,263	2,816	2,642	1,611	1,691	94
2005	동대문구	11월	남자	3,377	3,302	2,575	1,137	1,438	1,328	802	837	75
2005	동대문구	11월	여자	3,313	3,294	2,504	1,126	1,378	1,314	809	854	19
2005	동대문구	12월	합계	5,864	6,392	4,184	1,911	2,273	2,426	1,680	2,055	-528
2005	동대문구	12월	남자	2,921	3,198	2,089	926	1,163	1,241	832	1,031	-277
