,종가,오픈,고가,저가,거래량,변동 %,거래대금
2019년 12월 19일,"2,196.56","2,199.42","2,204.73","2,186.59",630.99K,0.08%,1386007.394K
2019년 12월 18일,"2,194.76","2,194.92","2,204.04","2,187.32",580.20K,-0.04%,1273399.752K
2019년 12월 17일,"2,195.68","2,179.40","2,196.01","2,171.09",587.00K,1.27%,1288864.16K
2019년 12월 16일,"2,168.15","2,168.05","2,175.01","2,166.29",370.55K,-0.10%,803407.9825K
2019년 12월 13일,"2,170.25","2,164.63","2,170.25","2,159.45",540.03M,1.54%,1172000.108K
2019년 12월 12일,"2,137.35","2,120.13","2,138.93","2,120.13",584.64M,1.51%,1249580.304K
2019년 12월 11일,"2,105.62","2,098.28","2,109.22","2,092.48",668.73M,0.36%,1408091.263K
2019년 12월 10일,"2,098.00","2,081.22","2,100.48","2,080.16",500.06M,0.45%,1049125.88K
2019년 12월 09일,"2,088.65","2,091.94","2,093.81","2,084.31",393.13M,0.33%,821110.9745K
2019년 12월 06일,"2,081.85","2,072.44","2,084.44","2,070.17",440.19M,1.02%,916409.5515K
2019년 12월 05일,"2,060.74","2,078.31","2,084.29","2,053.56",472.19M,-0.39%,973060.8206K
2019년 12월 04일,"2,068.89","2,070.84","2,072.91","2,057.45",347.00M,-0.73%,717904.83K
2019년 12월 03일,"2,084.07","2,075.02","2,085.71","2,066.60",450.04M,-0.38%,937914.8628K
2019년 12월 02일,"2,091.92","2,097.55","2,103.87","2,088.92",385.34M,0.19%,806100.4528K
2019년 11월 29일,"2,087.96","2,125.53","2,125.53","2,085.10",433.26M,-1.45%,904629.5496K
2019년 11월 28일,"2,118.60","2,116.93","2,127.75","2,116.58",335.23M,-0.43%,710218.278K
2019년 11월 27일,"2,127.85","2,134.47","2,136.30","2,118.07",367.80M,0.31%,782623.23K
2019년 11월 26일,"2,121.35","2,129.27","2,139.64","2,120.85",532.60M,-0.10%,1129831.01K
2019년 11월 25일,"2,123.50","2,117.14","2,130.04","2,116.07",397.68M,1.02%,844473.48K
2019년 11월 22일,"2,101.96","2,098.89","2,106.42","2,093.99",519.85M,0.26%,1092703.906K
2019년 11월 21일,"2,096.60","2,123.65","2,125.36","2,088.19",579.55M,-1.35%,1215084.53K
2019년 11월 20일,"2,125.32","2,140.06","2,145.97","2,123.80",581.06M,-1.30%,1234938.439K
2019년 11월 19일,"2,153.24","2,151.04","2,154.41","2,137.01",826.88M,-0.34%,1780471.091K
2019년 11월 18일,"2,160.69","2,161.89","2,165.89","2,151.97",489.23M,-0.07%,1057074.369K
2019년 11월 15일,"2,162.18","2,137.96","2,165.02","2,135.26",556.25M,1.07%,1202712.625K
2019년 11월 14일,"2,139.23","2,127.54","2,139.23","2,121.32",521.11M,0.79%,1114774.145K
2019년 11월 13일,"2,122.45","2,132.48","2,133.37","2,118.67",664.36M,-0.86%,1410070.882K
2019년 11월 12일,"2,140.92","2,131.26","2,140.94","2,121.80",610.43M,0.79%,1306881.796K
2019년 11월 11일,"2,124.09","2,139.07","2,139.07","2,119.07",617.27M,-0.61%,1311137.034K
2019년 11월 08일,"2,137.23","2,154.18","2,155.94","2,133.75",574.13M,-0.33%,1227047.86K
2019년 11월 07일,"2,144.29","2,141.05","2,147.01","2,135.45",425.66M,0.01%,912738.4814K
2019년 11월 06일,"2,144.15","2,142.69","2,156.23","2,138.83",410.08M,0.07%,879273.032K
2019년 11월 05일,"2,142.64","2,133.66","2,143.12","2,128.70",400.64M,0.58%,858427.2896K
2019년 11월 04일,"2,130.24","2,111.32","2,130.83","2,111.32",476.26M,1.43%,1014548.102K
2019년 11월 01일,"2,100.20","2,084.79","2,100.42","2,081.53",418.31M,0.80%,878534.662K
2019년 10월 31일,"2,083.48","2,089.22","2,103.71","2,083.48",461.32M,0.15%,961150.9936K
2019년 10월 30일,"2,080.27","2,093.51","2,093.51","2,075.54",415.55M,-0.59%,864456.1985K
2019년 10월 29일,"2,092.69","2,103.92","2,105.17","2,088.04",357.66M,-0.04%,748471.5054K
2019년 10월 28일,"2,093.60","2,096.67","2,104.39","2,089.76",269.23M,0.27%,563659.928K
2019년 10월 25일,"2,087.89","2,091.16","2,091.24","2,079.30",348.69M,0.11%,728026.3641K
2019년 10월 24일,"2,085.66","2,089.85","2,089.85","2,067.90",367.72M,0.24%,766938.8952K
2019년 10월 23일,"2,080.62","2,086.81","2,088.25","2,074.88",429.45M,-0.39%,893522.259K
2019년 10월 22일,"2,088.86","2,076.29","2,093.81","2,073.08",504.06M,1.16%,1052910.772K
2019년 10월 21일,"2,064.84","2,067.97","2,067.97","2,059.33",606.11M,0.20%,1251520.172K
2019년 10월 18일,"2,060.69","2,082.23","2,088.54","2,057.89",516.69M,-0.83%,1064737.916K
2019년 10월 17일,"2,077.94","2,081.76","2,087.15","2,072.49",314.18M,-0.23%,652847.1892K
2019년 10월 16일,"2,082.83","2,080.92","2,090.01","2,073.80",524.54M,0.71%,1092527.648K
2019년 10월 15일,"2,068.17","2,064.78","2,073.21","2,064.34",464.53M,0.04%,960727.0101K
2019년 10월 14일,"2,067.40","2,068.13","2,075.10","2,065.53",511.22M,1.11%,1056896.228K
2019년 10월 11일,"2,044.61","2,048.08","2,053.94","2,040.48",381.15M,0.81%,779303.1015K
2019년 10월 10일,"2,028.15","2,030.13","2,040.88","2,010.90",445.85M,-0.88%,904250.6775K
2019년 10월 08일,"2,046.25","2,029.37","2,046.81","2,024.63",437.52M,1.21%,895275.3K
